Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
200401CW10203,Data missing or out of range,10,Data missing or out of range,NA,1587,None,None,Data missing or out of range,Data missing or out of range,TOYOTA,CARINA E XI,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,109,Data missing or out of range,Nearside,2004
200401CW10204,26 - 35,6,Urban area,4,1997,None,None,Data missing or out of range,Data missing or out of range,HONDA,ACCORD 2.0I SE,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401CW10205,36 - 45,NA,Urban area,NA,NA,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,ASTRA ENVOY 8V AUTO,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Reversing,1,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Back,2004
200401CW10208,26 - 35,9,Urban area,4,2498,Kerb,Other permanent object,Data missing or out of range,Data missing or out of range,VAUXHALL,OMEGA 2.5 V6 CDX,Petrol,Male,Skidded and overturned,No tow/articulation,Offside on to central reservation,0,Going ahead other,1,109,Data missing or out of range,Back,2004
200401CW10210,26 - 35,5,Urban area,1,650,None,None,Data missing or out of range,Data missing or out of range,HONDA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,106,Data missing or out of range,Front,2004
200401CW10212,26 - 35,NA,Urban area,2,NA,None,None,Data missing or out of range,Data missing or out of range,HONDA,SES 125-3,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Motorcycle 125cc and under,Data missing or out of range,Nearside,2004
200401CW10215,56 - 65,15,Data missing or out of range,NA,1392,None,None,Data missing or out of range,Data missing or out of range,NISSAN,SUNNY PULSAR PREMIUM,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,2,109,Data missing or out of range,Back,2004
200401CW10216,46 - 55,6,Urban area,10,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,108,Data missing or out of range,Front,2004
200401CW10217,36 - 45,NA,Urban area,6,8268,None,None,Data missing or out of range,Data missing or out of range,TRANSBUS INT,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Front,2004
200401CW10218,46 - 55,4,Data missing or out of range,NA,3226,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,E320 CDI ELEGANCE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,109,Data missing or out of range,Front,2004
200401CW10225,36 - 45,1,Urban area,NA,8268,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401CW10229,26 - 35,NA,Urban area,4,NA,None,None,Data missing or out of range,Data missing or out of range,TAIWAN GOLDEN BEE,DELIVERY,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Nearside,2004
200401CW10233,26 - 35,3,Urban area,2,1840,None,None,Data missing or out of range,Data missing or out of range,MAZDA,MX-5 1.8I,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Nearside,2004
200401CW10234,26 - 35,2,Urban area,9,1796,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,ASTRA COUPE CONVERTIBLE,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401CW10235,26 - 35,1,Data missing or out of range,NA,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Parked,1,Bus or coach (17 or more pass seats),Data missing or out of range,Data missing or out of range,2004
200401CW10236,26 - 35,NA,Urban area,9,NA,None,None,Data missing or out of range,Data missing or out of range,RENAULT,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Offside,2004
200401CW10237,26 - 35,NA,Urban area,4,1686,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,COMBO 1700 DI,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Did not impact,2004
200401CW10237,26 - 35,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,NA,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Motorcycle 125cc and under,Data missing or out of range,Did not impact,2004
200401CW10242,36 - 45,8,Data missing or out of range,NA,1598,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,VECTRA PREMIER,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to right,1,109,Data missing or out of range,Did not impact,2004
200401CW10243,26 - 35,1,Urban area,NA,8268,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Front,2004
200401CW10246,21 - 25,3,Urban area,2,49,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,ET2,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Nearside,2004
200401CW10247,36 - 45,15,Urban area,4,1596,None,None,Data missing or out of range,Data missing or out of range,NISSAN,SUNNY PULSAR GS,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,2,109,Data missing or out of range,Front,2004
200401CW10248,26 - 35,12,Data missing or out of range,NA,400,None,None,Data missing or out of range,Data missing or out of range,HONDA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Front,2004
200401CW10249,16 - 20,1,Urban area,NA,2597,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,CLK 240 AVANTGARDE AUTO,Petrol,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Did not impact,2004
200401CW10253,26 - 35,12,Urban area,2,1235,None,None,Data missing or out of range,Data missing or out of range,NISSAN,MICRA LX AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,109,Data missing or out of range,Back,2004
200401CW10253,21 - 25,3,Urban area,2,4250,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Goods over 3.5t. and under 7.5t,Data missing or out of range,Front,2004
200401CW10254,36 - 45,NA,Urban area,8,NA,None,None,Data missing or out of range,Data missing or out of range,HONDA,CB 1300 F-3,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,106,Data missing or out of range,Front,2004
200401CW10258,36 - 45,NA,Urban area,5,124,None,None,Data missing or out of range,Data missing or out of range,HONDA,CG 125-4,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Nearside,2004
200401CW10258,46 - 55,8,Urban area,10,1781,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF GL AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,2,109,Data missing or out of range,Offside,2004
200401CW10260,46 - 55,4,Urban area,3,1762,None,None,Data missing or out of range,Data missing or out of range,TOYOTA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,2,Moving off,2,109,Data missing or out of range,Offside,2004
200401CW10263,36 - 45,37,Urban area,2,NA,None,None,Data missing or out of range,Data missing or out of range,LEYLAND AEC,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401CW10265,21 - 25,1,Urban area,2,1998,None,None,Data missing or out of range,Data missing or out of range,FORD,TRANSIT 280 SWB TD,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,U-turn,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Offside,2004
