Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
200401BS00001,26 - 35,3,Urban area,4,1588,None,None,Data missing or out of range,Data missing or out of range,ROVER,45 CLASSIC 16V,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00002,26 - 35,NA,Urban area,3,NA,None,None,Data missing or out of range,Data missing or out of range,BMW,C1,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00003,26 - 35,4,Data missing or out of range,NA,998,None,None,Data missing or out of range,Data missing or out of range,NISSAN,MICRA CELEBRATION 16V,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00003,66 - 75,NA,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TXII GOLD AUTO,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00004,26 - 35,1,Urban area,4,124,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Front,2004
200401BS00004,36 - 45,10,Data missing or out of range,NA,1781,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,U-turn,2,109,Data missing or out of range,Offside,2004
200401BS00009,26 - 35,NA,Urban area,4,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA GT 125,NA,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Did not impact,2004
200401BS00010,36 - 45,NA,Urban area,8,NA,None,None,Data missing or out of range,Data missing or out of range,BMW,R1100 RT,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00012,46 - 55,3,Data missing or out of range,NA,2685,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,109,Data missing or out of range,Back,2004
200401BS00013,26 - 35,4,Urban area,6,2300,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF V5,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Offside,2004
200401BS00013,21 - 25,3,Urban area,8,2402,None,None,Data missing or out of range,Data missing or out of range,FORD,TRANSIT 350 LWB TD,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead right-hand bend,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Front,2004
200401BS00021,36 - 45,2,Data missing or out of range,NA,8268,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401BS00022,36 - 45,11,Data missing or out of range,NA,1998,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,CAVALIER LS AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00028,Data missing or out of range,6,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Not known,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401BS00030,Data missing or out of range,1,Urban area,10,6370,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Goods 7.5 tonnes mgw and over,Data missing or out of range,Front,2004
200401BS00033,Data missing or out of range,NA,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,MAN,,NA,Not known,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Goods 7.5 tonnes mgw and over,Data missing or out of range,Nearside,2004
200401BS00038,26 - 35,6,Urban area,8,1984,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF GL AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Front,2004
200401BS00041,16 - 20,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Data missing or out of range,2004
200401BS00044,Data missing or out of range,6,Urban area,5,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Moving off,2,108,Data missing or out of range,Offside,2004
200401BS00045,36 - 45,2,Data missing or out of range,NA,2979,None,None,Data missing or out of range,Data missing or out of range,BMW,330 CI SPORT AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,109,Data missing or out of range,Back,2004
200401BS00048,26 - 35,9,Data missing or out of range,NA,5480,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Back,2004
200401BS00050,26 - 35,5,Urban area,3,1242,None,None,Data missing or out of range,Data missing or out of range,FIAT,PUNTO 60 TEAM,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00051,56 - 65,3,Urban area,8,1998,None,None,Data missing or out of range,Data missing or out of range,RENAULT,MEGANE SCENIC DYNAM+ AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00052,46 - 55,13,Urban area,2,2309,None,None,Data missing or out of range,Data missing or out of range,AUDI,100E AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00053,Data missing or out of range,11,Data missing or out of range,NA,1995,None,None,Data missing or out of range,Data missing or out of range,MAZDA,XEDOS 6 SE A,Petrol,Not known,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00059,56 - 65,15,Rural,5,4973,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,500 SEL AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,109,Data missing or out of range,Back,2004
200401BS00061,Data missing or out of range,11,Data missing or out of range,NA,1997,None,None,Data missing or out of range,Data missing or out of range,ROVER,620 SI AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Data missing or out of range,2004
200401BS00064,46 - 55,NA,Urban area,8,NA,None,None,Data missing or out of range,Data missing or out of range,MAN,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Goods 7.5 tonnes mgw and over,Data missing or out of range,Front,2004
200401BS00065,26 - 35,NA,Urban area,5,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,ET2,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Did not impact,2004
200401BS00069,26 - 35,NA,Urban area,NA,NA,Parked vehicle,None,Data missing or out of range,Data missing or out of range,HONDA,SGX50,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401BS00069,Data missing or out of range,4,Data missing or out of range,NA,1896,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF E SDI,Heavy oil,Not known,None,No tow/articulation,Did not leave carriageway,0,Parked,2,109,Data missing or out of range,Back,2004
200401BS00075,21 - 25,6,Urban area,5,NA,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401BS00078,21 - 25,3,Urban area,NA,8268,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401BS00080,Data missing or out of range,13,Data missing or out of range,NA,1984,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,PASSAT GL INJ AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00081,26 - 35,2,Urban area,1,1995,None,None,Data missing or out of range,Data missing or out of range,CHRYSLER,STREET CRUISER SERIES 1 AUT,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Offside,2004
200401BS00082,46 - 55,NA,Urban area,6,NA,None,None,Data missing or out of range,Data missing or out of range,ISUZU,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Back,2004
200401BS00082,36 - 45,5,Urban area,7,3950,None,None,Data missing or out of range,Data missing or out of range,LAND ROVER,DISCOVERY V8I ES AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,3,109,Data missing or out of range,Front,2004
200401BS00085,26 - 35,2,Data missing or out of range,NA,1781,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF ANNIVERSARY T,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00086,26 - 35,NA,Urban area,4,NA,None,None,Data missing or out of range,Data missing or out of range,YAMAHA,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401BS00089,36 - 45,2,Urban area,9,1984,Kerb,None,Data missing or out of range,Data missing or out of range,AUDI,A4 SPORT AUTO,Petrol,Male,None,No tow/articulation,Offside,0,Going ahead other,1,109,Data missing or out of range,Nearside,2004
200401BS00090,36 - 45,3,Urban area,9,1598,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Parked,1,109,Data missing or out of range,Back,2004
200401BS00091,36 - 45,4,Urban area,10,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,108,Data missing or out of range,Front,2004
200401BS00091,36 - 45,1,Data missing or out of range,NA,1598,None,None,Data missing or out of range,Data missing or out of range,MINI,MINI ONE AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,U-turn,2,109,Data missing or out of range,Offside,2004
200401BS00092,36 - 45,3,Urban area,6,1598,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,A160 AVANTGARDE AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00093,Data missing or out of range,3,Data missing or out of range,NA,1389,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,CORSA ELEGANCE 16V,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,U-turn,2,109,Data missing or out of range,Front,2004
200401BS00094,26 - 35,1,Urban area,6,2435,None,None,Data missing or out of range,Data missing or out of range,VOLVO,V70 S 20V AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead left-hand bend,1,109,Data missing or out of range,Offside,2004
200401BS00095,26 - 35,7,Small town,6,498,None,None,Data missing or out of range,Data missing or out of range,KAWASAKI,EX500-D3,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Front,2004
200401BS00095,36 - 45,7,Urban area,4,2793,None,None,Data missing or out of range,Data missing or out of range,BMW,328I TOURING,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Front,2004
200401BS00102,26 - 35,4,Urban area,4,124,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking moving vehicle - offside,1,Motorcycle 125cc and under,Data missing or out of range,Nearside,2004
200401BS00103,26 - 35,12,Urban area,7,553,None,None,Data missing or out of range,Data missing or out of range,KAWASAKI,Z550-G7,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to right,1,106,Data missing or out of range,Front,2004
200401BS00104,16 - 20,1,Urban area,2,848,None,None,Data missing or out of range,Data missing or out of range,BMW,R 850 R MU,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Offside,2004
200401BS00105,26 - 35,1,Urban area,5,198,None,None,Data missing or out of range,Data missing or out of range,GILERA,RUNNER 200,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking moving vehicle - offside,1,106,Data missing or out of range,Front,2004
200401BS00106,36 - 45,8,Data missing or out of range,NA,124,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,HEXAGON,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to turn right,1,Motorcycle 125cc and under,Data missing or out of range,Back,2004
200401BS00107,36 - 45,8,Urban area,7,849,None,None,Data missing or out of range,Data missing or out of range,YAMAHA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking moving vehicle - offside,1,106,Data missing or out of range,Front,2004
200401BS00107,36 - 45,3,Urban area,7,1985,None,None,Data missing or out of range,Data missing or out of range,SAAB,9-3 SE TURBO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Offside,2004
200401BS00112,46 - 55,1,Urban area,9,1796,None,None,Data missing or out of range,Data missing or out of range,ROVER,45 IMPRESSION S3 CVT,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00117,26 - 35,1,Data missing or out of range,NA,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401BS00118,Data missing or out of range,6,Data missing or out of range,NA,1905,None,None,Data missing or out of range,Data missing or out of range,CITROEN,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00128,36 - 45,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,MASERATI,3200 GT AUTO,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Front,2004
200401BS00131,36 - 45,1,Data missing or out of range,NA,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401BS00132,66 - 75,5,Urban area,3,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,108,Data missing or out of range,Offside,2004
200401BS00133,26 - 35,2,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401BS00134,46 - 55,9,Urban area,7,2212,None,None,Data missing or out of range,Data missing or out of range,SUBARU,LEGACY GX 4WD AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Nearside,2004
200401BS00138,21 - 25,NA,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,HONDA,SH50,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Nearside,2004
200401BS00138,56 - 65,5,Data missing or out of range,NA,4266,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,S430 AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Offside,2004
200401BS00139,26 - 35,3,Urban area,6,599,None,None,Data missing or out of range,Data missing or out of range,HONDA,CB600 HORNET,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,106,Data missing or out of range,Front,2004
200401BS00140,21 - 25,6,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Offside,2004
200401BS00142,66 - 75,5,Urban area,5,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,108,Data missing or out of range,Nearside,2004
200401BS00144,16 - 20,16,Urban area,8,399,None,None,Data missing or out of range,Data missing or out of range,HONDA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Front,2004
200401BS00144,56 - 65,4,Data missing or out of range,NA,2496,None,None,Data missing or out of range,Data missing or out of range,AUDI,A6 TDI QUATTRO SPORT AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Offside,2004
200401BS00146,26 - 35,12,Data missing or out of range,NA,998,None,None,Data missing or out of range,Data missing or out of range,NISSAN,,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Offside,2004
200401BS00146,Data missing or out of range,7,Data missing or out of range,NA,1581,None,None,Data missing or out of range,Data missing or out of range,FIAT,PUNTO 90 ELX CABRIO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,2,109,Data missing or out of range,Back,2004
200401BS00150,56 - 65,9,Urban area,6,2316,None,None,Data missing or out of range,Data missing or out of range,VOLVO,940 SE TURBO AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00150,16 - 20,3,Urban area,9,748,None,None,Data missing or out of range,Data missing or out of range,DUCATI,,Petrol,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,106,Data missing or out of range,Front,2004
200401BS00153,46 - 55,NA,Urban area,6,NA,None,None,Data missing or out of range,Data missing or out of range,VOLVO,480 ES S/R,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,108,Data missing or out of range,Front,2004
200401BS00154,56 - 65,3,Urban area,8,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,108,Data missing or out of range,Front,2004
200401BS00155,36 - 45,16,Urban area,4,970,None,None,Data missing or out of range,Data missing or out of range,BEDFORD,99 170,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Back,2004
200401BS00158,36 - 45,NA,Urban area,2,1997,None,None,Data missing or out of range,Data missing or out of range,PEUGEOT,307 S HDI 90,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00159,26 - 35,4,Urban area,5,49,None,None,Data missing or out of range,Data missing or out of range,APRILIA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401BS00160,56 - 65,3,Small town,8,1998,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,C180 AVANTGARDE AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead right-hand bend,1,109,Data missing or out of range,Nearside,2004
200401BS00165,36 - 45,13,Urban area,5,1188,None,None,Data missing or out of range,Data missing or out of range,YAMAHA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Front,2004
200401BS00165,26 - 35,14,Data missing or out of range,NA,10,None,None,Data missing or out of range,Data missing or out of range,LEYLAND,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Bus or coach (17 or more pass seats),Data missing or out of range,Offside,2004
200401BS00166,Data missing or out of range,2,Data missing or out of range,NA,1998,None,None,Data missing or out of range,Data missing or out of range,FORD,TRANSIT 280 MWB TD,Heavy oil,Not known,None,No tow/articulation,Did not leave carriageway,0,Turning left,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Nearside,2004
200401BS00167,26 - 35,2,Urban area,3,1997,None,None,Data missing or out of range,Data missing or out of range,CITROEN,XSARA PICASSO SX HDI,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00168,66 - 75,6,Urban area,2,1242,Parked vehicle,None,Data missing or out of range,Data missing or out of range,FORD,FIESTA GHIA 16V AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00171,26 - 35,2,Data missing or out of range,NA,3226,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,E320 CDI AVANTGARDE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,109,Data missing or out of range,Back,2004
200401BS00171,26 - 35,5,Urban area,2,49,None,None,Data missing or out of range,Data missing or out of range,APRILIA,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401BS00174,26 - 35,NA,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Offside,2004
200401BS00175,36 - 45,7,Data missing or out of range,NA,1799,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,C180 ESPRIT AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Offside,2004
200401BS00176,36 - 45,4,Urban area,3,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,108,Data missing or out of range,Did not impact,2004
200401BS00177,26 - 35,16,Urban area,6,1781,None,None,Data missing or out of range,Data missing or out of range,AUDI,80 S,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00178,46 - 55,4,Urban area,8,1396,None,None,Data missing or out of range,Data missing or out of range,ROVER,214I E 16V,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00179,21 - 25,4,Urban area,3,1998,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,VECTRA SRI 140,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00179,21 - 25,6,Urban area,4,2000,None,None,Data missing or out of range,Data missing or out of range,MITSUBISHI,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Back,2004
200401BS00180,26 - 35,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,ALFA ROMEO,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401BS00180,Data missing or out of range,3,Urban area,5,1985,None,None,Data missing or out of range,Data missing or out of range,SAAB,9-3 SE TURBO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,U-turn,2,109,Data missing or out of range,Offside,2004
200401BS00188,21 - 25,4,Urban area,4,8970,None,None,Data missing or out of range,Data missing or out of range,SCANIA,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning left,2,Goods 7.5 tonnes mgw and over,Data missing or out of range,Nearside,2004
200401BS00189,36 - 45,15,Urban area,3,2299,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,230 TE AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00191,66 - 75,5,Urban area,10,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning left,1,108,Data missing or out of range,Front,2004
200401BS00193,26 - 35,NA,Data missing or out of range,NA,2402,None,None,Data missing or out of range,Data missing or out of range,FORD,TRANSIT 350 LWB TD,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Parked,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Offside,2004
200401BS00195,56 - 65,6,Urban area,6,2435,None,None,Data missing or out of range,Data missing or out of range,VOLVO,V70 XLT 20V AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00197,36 - 45,3,Urban area,6,599,Kerb,None,Data missing or out of range,Data missing or out of range,KAWASAKI,,Petrol,Male,Skidded,No tow/articulation,Offside,0,Going ahead other,1,106,Data missing or out of range,Front,2004
200401BS00197,26 - 35,8,Urban area,3,2316,None,None,Data missing or out of range,Data missing or out of range,VOLVO,940 GLE TURBO AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Offside,2004
200401BS00198,21 - 25,11,Urban area,2,954,None,None,Data missing or out of range,Data missing or out of range,CITROEN,AX SALSA,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Nearside,2004
200401BS00200,46 - 55,1,Data missing or out of range,NA,125,None,None,Data missing or out of range,Data missing or out of range,PEUGEOT,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking - nearside,2,Motorcycle 125cc and under,Data missing or out of range,Front,2004
200401BS00201,26 - 35,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Nearside,2004
200401BS00202,36 - 45,2,Urban area,6,49,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,ET2,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking - nearside,2,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401BS00203,66 - 75,9,Urban area,1,5474,None,None,Data missing or out of range,Data missing or out of range,FERRARI,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00211,26 - 35,5,Urban area,2,599,None,None,Data missing or out of range,Data missing or out of range,KAWASAKI,ZX600-G2,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking moving vehicle - offside,1,106,Data missing or out of range,Offside,2004
